id	text_a	难过	开心	赞赏	批评	怀疑	喜欢	惊叹	鼓励
4529	中国大使馆不也建议配合警方吗。说明大使馆也觉得警察是在行使职权	0	0	0	0	0	1	0	0
3452	他真的特别低调，用作品说话	1	1	1	0	1	0	1	0
2386	吃完还在裤子上擦一擦 太可爱了吧 像及了小时候偷吃的亚子 哈哈哈	1	0	1	1	1	0	1	1
4998	黑人没几个好东西，不信他们能有这么多钱	0	0	1	0	0	0	1	1
3446	这也是一直粉他的原因 他说的很对 演员就是靠作品 所以 等着他作品上线就可	0	0	0	1	1	1	1	1
3330	谢谢能发现	0	1	0	0	1	1	1	0
4317	我是来给你们打call的！！！很好看！！很用心！n	1	1	1	0	0	0	0	1
1061	可爱	0	0	1	1	0	0	0	0
1724	干！！真帅啊	0	1	0	1	1	1	0	0
3091	哈哈哈哈哈哈哈杨洋好可爱	1	1	1	0	1	0	1	1
5126	个别人员的谩骂指的是那些不配合搜身的人的谩骂，我也是又看了一遍才明白的。	0	0	0	0	0	0	0	0
4338	没骂街的吗	1	1	1	0	1	0	0	0
3138	蛋糕估计好好吃	0	1	0	1	1	0	1	1
5553	berger好得很	0	1	1	0	1	0	1	0
3776	很用心	1	1	1	1	1	0	0	0
4799	下次我做阿聯酋航空的時候說我不見了20W美金吧	1	1	1	0	1	0	0	0
1998	我杨洋也太可爱了	0	0	0	0	1	0	0	0
166	不敢相信	0	1	0	1	1	0	0	0
2779	 蛋糕好好吃的样子，大年初一记得看急先锋哦	0	1	0	1	0	0	1	1
5638	正好再看奇葩说！！太好啦	1	1	1	0	0	1	0	1
3039	嗯嗯好吃	1	0	1	1	1	0	0	1
1695	啊哈哈	1	1	1	0	1	0	0	0
2493	图4：别用手啊，我有勺	0	0	1	0	1	1	0	0
2765	大哥每次看到吃的的爱不释手，跟个大孩子一样	0	1	1	1	1	1	1	1
681	祝贺!	0	1	1	1	1	1	0	0
3522	他一直很努力地在做一个好演员	0	1	0	0	1	0	1	0
6594	哎呦不错呦	0	0	1	1	0	1	0	0
5476	我要去奇葩说看渤哥	0	0	1	0	1	1	0	1
1910	啊啊啊，好可爱	1	1	1	0	0	1	1	0
3404	喜欢杨洋	1	1	0	1	0	0	1	1
5637	(⊙o⊙)哇期待	0	1	0	1	0	1	0	1
2221	哈哈哈哈哈哈哈哈哈这俩老少在一起竟然有点萌	0	0	1	1	0	1	1	0
1926	蛋糕味道应该还不错	1	0	1	0	0	0	0	0
1140	哈哈哈哈 我的哥好可爱	0	1	1	0	1	1	0	1
6048	姐姐 我	0	0	1	0	0	0	0	1
6280	我晕  真是公主	0	0	0	0	1	0	1	1
6213	富态贵气	1	0	0	0	1	0	0	1
428	回归自然，卸下枷锁，你自然找了安静的声音。安静离我们不远，你用心自能找到。人心就像一个容器，装的快乐多了，烦恼自然就少；装的简单多了，纠结自然就少；装的满足多了，痛苦自然就少；装的理解多了，矛盾自然就少；装的宽容多了，仇恨自然就少。	0	0	1	0	0	0	0	1
7041	刘亦菲太帅啦	1	1	1	1	0	1	1	1
5698	是不是有点胖了  好像没有锁骨诶 不是恶意喷的	0	1	1	0	1	0	0	1
442	请不要    步步紧逼了	1	0	1	1	1	1	1	1
3181	不讲卫生	0	0	0	0	1	1	0	0
3000	杨洋有点可可爱哟	1	1	0	0	0	0	0	1
943	杨洋这个短发求你半永久	0	1	1	1	1	0	0	0
3991	停更了吗	0	0	0	1	1	1	1	1
2523	不说别的 我看到这些就觉得 很没礼貌	1	1	0	1	1	1	1	0
2605	为什么不给蛋糕一个特写	1	0	1	1	0	0	1	0
5432	渤哥你终于来了！！！等了你六季	0	0	0	0	1	0	1	0
3751	爱五真的挺好的	1	0	0	1	0	1	1	1
1103	饿了	1	1	0	1	0	0	1	0
6453	女神美美哒	0	1	0	0	0	1	0	1
918	哈哈哈，太可爱了大哥大可爱， 小可爱	0	1	1	1	0	0	1	1
2170	可爱到犯规	1	1	0	1	1	0	1	0
4274	真的很用心，一镜到底超棒！导演和演员都辛苦了！辛苦美潇换了好多趟衣服，爱五好看	1	1	0	1	0	1	1	0
6336	这套衣服不适合太白的光	1	1	1	0	1	1	0	0
