id	text_a	难过	开心	赞赏	批评	怀疑	喜欢	惊叹	鼓励
5198	哎呦，真帅	1	1	1	1	0	1	1	0
434	病魔步步紧逼啊	0	1	0	1	1	0	1	1
1128	 俩人还有眼神交流	0	1	1	0	0	1	1	0
1826	期待	1	0	0	1	1	1	1	0
4219	卫生间那段看了两遍，真的棒	0	1	1	0	0	0	1	1
6052	仙女哇	1	0	1	0	1	0	1	0
2890	心了	1	0	1	1	0	0	1	0
4209	看哭了，真的	0	0	0	1	0	0	1	1
1440	想看电影急先锋	0	1	1	0	0	1	1	0
3447	是啊 是啊  是啊 很有理 支持杨洋	1	0	1	0	0	1	1	1
3577	换脸那些居然都是李佳航演的哈哈哈哈哈 我还以为真的换脸  张伟这集辛苦了	0	0	0	1	1	0	1	1
596	太原人很舒服	0	1	1	1	1	0	1	0
11	小声bb一句，死的好，人家女孩子一辈子都被他毁了	1	1	1	1	1	0	1	1
6933	刘亦菲，不愧是你。	0	1	0	1	0	0	1	1
4375	这就是传说拍了一周的厕所戏吗	0	0	1	0	0	0	1	1
4480	确实该搜	1	1	0	1	0	1	1	1
482	天堂没有病痛，一路走好	1	0	1	0	1	0	0	0
6456	我的公主殿下	1	1	0	0	1	0	1	0
4261	low剧，再见不送	0	1	0	1	1	0	1	1
1247	哈哈哈哈哈哈太可爱了大年初一来电影院康康我们急先锋吧	0	0	0	1	0	0	0	0
6800	Vvv	1	0	1	0	1	1	0	1
6862	我姐的马上后空翻太厉害了	0	0	0	0	1	0	0	1
215	心酸	1	1	1	1	1	1	0	0
6579	仙女姐姐食人间烟火了，微胖和你接地气	0	0	0	0	1	0	0	1
3966	今天和昨天怎么没更新呀	0	1	0	1	0	1	1	0
1575	这太搞笑了	0	1	0	0	0	0	0	0
2946	哈哈哈哈哈哈，成龙大哥和杨洋好可爱啊	0	1	0	1	1	1	0	0
3058	我哥真是个小可爱	0	1	0	0	1	1	0	1
3243	洋洋整鼻子了	1	0	1	1	1	0	0	1
5028	带两万美金现金入境。。。。哪个国家的外汇管理能允许?!这一点就能把黑人先制住	0	1	0	1	0	0	0	0
6944	马上后空翻太帅了	1	0	0	1	1	1	1	1
3320	因为他是演员杨洋啊。	1	1	1	1	1	0	0	0
3308	是的，他说过要做一辈子的演员，我会做他一辈子的观众。	0	0	0	0	1	0	0	1
7119	期待我们的木兰	1	0	1	1	0	1	0	1
3133	 太可爱了	0	0	1	0	1	1	0	1
6869	又美又飒	0	0	0	0	1	0	1	1
3065	夜华	0	1	0	1	1	1	1	1
898	哈哈哈哈哈龙叔太可爱了	1	1	0	0	0	1	1	1
1564	笑死我了	0	0	1	0	0	0	0	0
