id	text_a	 难过	开心	赞赏	批评	怀疑	喜欢	惊叹	鼓励
1449	哈哈哈   成龙大哥是偷偷揣兜里擦擦手嘛	0	1	0	0	0	1	0	0
152	愿天堂没有松，只有紧	0	0	0	0	0	0	0	0
926	弥雅太可爱了，就算这么可爱，也挡不住大哥偷吃的心哈哈	0	1	1	0	0	1	0	0
6021	 刘亦菲这颜我真的吃啊	0	0	1	0	0	1	1	0
1606	 他好可爱啊啊啊啊（我说的当然不是成龙	0	0	1	0	0	1	1	0
6539	李易峰粉丝路过，她不用在逃，真的，随便谁都愿意抱回家一辈子的呜呜呜呜太美了	0	0	1	0	0	1	1	0
2918	图三实力撩妹	0	0	1	0	0	0	1	0
1203	哈哈哈 爱死杨洋了	0	1	1	0	0	1	0	0
3875	哇 我超爱歌舞剧的！可是好像很多人不喜欢，我发现一唱起来他们就发弹幕骂人，可是一唱起来我就特别嗨皮	0	1	0	0	0	0	0	0
4283	歌舞剧也是有取处 HIMYM BARNEY	0	1	1	0	0	1	0	0
2182	哈哈，好可爱	0	1	1	0	0	1	1	0
7063	刘亦菲你真的很棒	0	0	1	0	0	1	0	1
2586	龙哥和洋宝好萌	0	0	1	0	0	1	1	0
1355	哈哈哈憨憨	0	1	0	0	0	0	0	0
5675	现在就想看怎能办	0	0	0	0	0	1	0	0
4976	评论炸出一堆杠精	0	0	0	1	0	0	0	0
986	简直不要太可爱了哈哈	0	1	1	0	0	1	0	0
832	哈哈哈哈，太可爱了	0	1	1	0	0	1	1	0
5615	渤哥变帅啦	0	0	1	0	0	1	0	0
7080	迫不及待想看刘亦菲了！！打戏太帅了	0	0	1	0	0	1	1	0
4314	当那个音乐响起那一秒超级想哭	1	0	1	0	0	0	0	0
3023	抓到两个偷吃的大可爱	0	0	1	0	0	1	0	0
1973	哈哈哈哈哈哈！太可爱了	0	1	1	0	0	1	1	0
6041	  你的神仙姐姐	0	0	1	0	0	1	0	0
7010	以后就靠着花木兰练听力了，关掉字幕听，完美台词我都会背了	0	0	1	0	0	1	0	0
6133	太美了太美了	0	1	1	0	0	1	1	0
4966	这跟国内有人在公交车上丢了手机然后报警，全车人等待警察搜身一样的事情。个人利益跟部分公众利益冲突了，有分歧争论没问题，但是因为是在国外就民粹起来是不是太战狼太自卑了？讨论程序公正性可以，为什么要扯国际地位	0	0	0	1	0	0	0	0
2525	成龙大哥是吃完以后用裤子口袋擦干净手么？掩饰自己偷偷吃过的痕迹。	0	0	0	0	1	0	0	0
3203	两人真的好可爱	0	0	1	0	0	0	1	0
7142	木兰将军	0	0	0	0	0	0	0	0
4359	前四季挺经典我寻思这第五季看的是歌舞剧嘛我都是跳着看的	0	0	0	1	0	0	0	0
5259	我又来了，爱你哟	0	0	0	0	0	1	0	0
3723	这一季我只从张伟身上找到之前的感觉！李佳航，一个好演员，他不是张伟，他叫李佳航！一个演技非常棒的演员	0	0	1	0	0	1	0	0
5257	厉害的你，惹不起	0	0	0	1	0	0	0	0
2104	狗狗祟祟	0	0	0	1	0	0	0	0
3425	所以他是我最爱的男艺人，从大宝玉后，一直到现在。所以更希望他是演员而不是流量！加油我的羊	0	0	1	0	0	1	0	1
920	哈哈哈哈哈哈杨洋哥哥太可爱了	0	1	1	0	0	1	1	0
4859	嗨鬼给👴死	0	0	0	1	0	0	0	0
1248	哥哥真可爱	0	0	1	0	0	0	0	0
1342	看成了成年杨洋偷吃蛋糕还想，咦，还有童年杨洋嘛	0	0	0	0	1	0	1	0
2358	两个贪吃鬼哈哈哈哈	0	1	0	1	0	0	0	0
5709	我还能说啥	0	0	0	0	0	0	0	0
4877	说顶的人认真看看。商务舱后面的人搜了，前面的没人进来，人都没进来我凭什么让你搜了，搜身是什么，侵犯到别人隐私怎么办。还一个一个搜脑子有问题吧	0	0	0	1	1	0	0	0
2729	看来蛋糕真的好吃	0	0	0	0	0	0	0	0
2479	 哈哈哈哈哈哈哈哈俩人还讨论一下肯定了蛋糕的味道	0	1	0	0	0	0	0	0
3644	前两集是挺尬，看到后面真的挺好看的	0	0	1	0	0	1	0	0
2555	傻咩	0	0	0	0	0	0	0	0
968	我羊肯定是因为太好吃才忍不住偷吃的	0	0	0	0	1	0	0	0
4721	我看就是给泰国脸了，以后都不去泰国旅游。也不要再赞助这些个非洲国家，都tm一个个的什么玩意	0	0	0	1	0	0	0	0
3013	图三我急了	0	0	0	0	0	0	0	0
1874	这么大蛋糕放我洋面前不让吃可就太难受了	0	0	0	0	0	0	0	0
4034	我还以为是因为抄袭终于主动下架了	0	0	0	0	1	0	0	0
5975	太好看啦叭	0	0	1	0	0	1	0	0
1608	相视一笑头一点是几个意思	0	0	0	0	1	0	0	0
1586	看样子蛋糕挺不错的，一定很好吃，不然成龙老师也不会偷吃啊	0	0	1	0	1	0	0	0
557	频率老高了	0	0	0	0	0	0	0	0
5666	哈哈 那我们就一起唠吧	0	1	0	0	0	0	0	0
6138	刘亦菲也太美了，真的是神仙姐姐	0	1	1	0	0	1	0	0
1708	大哥要不要这么可爱啊，竟然还偷吃蛋糕	0	0	1	0	0	1	0	0
6430	 绝了	0	0	0	0	0	0	0	0
1291	成龙170，杨洋175吧	0	0	0	0	0	0	0	0
1836	偷吃就偷吃了龙哥还藏口袋里	0	0	0	1	0	0	0	0
